round,timestamp,mse,psnr,avg_loss,loss_std,avg_bottleneck,min_bottleneck,max_bottleneck,bottleneck_std,compression_ratio,test_snr,test_bottleneck,dataset,channel_stats
1,2025-05-31T21:55:22.455165,0.006139884027775633,22.118398318837116,0.024591675669079882,0.001508122407927414,144.0,64,192,47.463670317412245,0.4375,10.401697700316129,144,Tiny ImageNet,"{'avg_snr': 10.401697700316129, 'snr_std': 4.027344740462122, 'min_snr': 4.889730209499338, 'max_snr': 15.558250848420254, 'snr_range': 10.668520638920917}"
2,2025-05-31T21:57:54.784829,0.003100641539921521,25.085484389327846,0.012238223404356962,0.00042102073108382074,148.8,72,192,53.45053788316821,0.41874999999999996,11.215927160446487,148,Tiny ImageNet,"{'avg_snr': 11.215927160446487, 'snr_std': 3.913555501304108, 'min_snr': 5.192618593226108, 'max_snr': 16.59380395513603, 'snr_range': 11.40118536190992}"
3,2025-05-31T22:00:22.748710,0.0016463532866466614,27.834769650059613,0.008310496619764029,0.00026978552048727777,137.6,64,192,51.199999999999996,0.4625,10.235891453033028,137,Tiny ImageNet,"{'avg_snr': 10.235891453033028, 'snr_std': 4.57930072381072, 'min_snr': 1.4702815400856526, 'max_snr': 14.718840770227718, 'snr_range': 13.248559230142066}"
4,2025-05-31T22:02:57.371227,0.0011706684984601836,29.31566067926491,0.006286297074364995,0.0001355797176204711,163.2,64,256,79.9359743794995,0.36250000000000004,10.98488496901509,163,Tiny ImageNet,"{'avg_snr': 10.98488496901509, 'snr_std': 4.9266495590033, 'min_snr': 4.121915865925615, 'max_snr': 17.302512455970792, 'snr_range': 13.180596590045177}"
5,2025-05-31T22:21:53.500949,0.0009552550338277662,30.198806650681203,0.005238885044056205,6.579168488251802e-05,145.6,72,192,44.800000000000004,0.43125,12.543006769505675,145,Tiny ImageNet,"{'avg_snr': 12.543006769505675, 'snr_std': 3.9693623865075613, 'min_snr': 6.241882218557517, 'max_snr': 17.698218959685327, 'snr_range': 11.45633674112781}"
6,2025-05-31T22:24:16.568281,0.0009572878467638499,30.18957454632112,0.004705415596570081,3.480313828871531e-05,150.4,64,256,68.33330081300039,0.4125,10.94076886299359,150,Tiny ImageNet,"{'avg_snr': 10.94076886299359, 'snr_std': 5.350350724609036, 'min_snr': 2.428829901444178, 'max_snr': 17.722266994390232, 'snr_range': 15.293437092946053}"
7,2025-05-31T22:26:53.548332,0.0008331757037599802,30.792634030027596,0.004416408599155592,4.647316750900528e-05,164.8,72,256,77.99076868450523,0.35624999999999996,13.560465535977903,164,Tiny ImageNet,"{'avg_snr': 13.560465535977903, 'snr_std': 4.286914396385484, 'min_snr': 6.252519696016511, 'max_snr': 19.10757271406661, 'snr_range': 12.8550530180501}"
8,2025-05-31T22:29:30.736411,0.0008078102051975235,30.926906646186477,0.004292546786214339,4.087299061672215e-05,172.8,64,256,79.9359743794995,0.32499999999999996,13.619045254463316,172,Tiny ImageNet,"{'avg_snr': 13.619045254463316, 'snr_std': 4.875927371165395, 'min_snr': 4.179605566668424, 'max_snr': 17.878997495416574, 'snr_range': 13.699391928748149}"
9,2025-05-31T22:32:13.192306,0.0007778545182503799,31.091016212997083,0.004141362888561607,5.860354701708319e-05,139.2,72,192,48.95058733049074,0.45625000000000004,9.363484010639894,139,Tiny ImageNet,"{'avg_snr': 9.363484010639894, 'snr_std': 2.917375458971777, 'min_snr': 5.419117161231291, 'max_snr': 13.50379001551796, 'snr_range': 8.08467285428667}"
10,2025-05-31T22:34:47.262398,0.0007693020635525938,31.139031026223037,0.0040576978335226865,4.339758829514955e-05,150.4,64,256,68.33330081300039,0.4125,10.103780267394828,150,Tiny ImageNet,"{'avg_snr': 10.103780267394828, 'snr_std': 4.967809357068091, 'min_snr': 1.5852920913951953, 'max_snr': 15.386506510291511, 'snr_range': 13.801214418896315}"
