round,client_id,device_type,base_snr,current_snr,channel_variance,max_bottleneck_capability,bottleneck,epochs,loss,energy_level,compression_ratio,adaptation_factor,recon_loss,efficiency_reward,context_penalty,adaptation_incentive,predictor_loss,adaptation_quality,quality_weight
1,1,low_power,6.994765749482685,8.659130637109113,5.9685975222660606,128,89,3,-0.03682072631954907,0.5452579134937847,0.65234375,0.6953125,0.024308762825412084,0.01428879580823294,0.0,0.026840693796211918,0.011102769373182627,0.8492057408707405,0.8492057408707405
1,2,mid_range,9.64412339140347,12.005114039216743,2.6200905081078343,256,194,3,-0.03527058464065341,0.661873285221811,0.2421875,0.7578125,0.023301818075588,0.013691714435404357,0.0,0.024880688731092185,0.01083125422637675,0.8409106116577274,0.8409106116577274
1,3,ultra_low,16.31551579179323,18.541037709810787,3.893432697228667,64,64,3,-0.01772719511184199,0.6102849282728857,0.75,1.0,0.02502771401884912,0.0,0.0,0.02275490974231489,0.014022345217887342,0.7322001567234011,0.7322001567234011
1,4,mid_range,10.796729006040362,13.311740107070483,2.5583426540113146,256,213,3,-0.0277235957759398,0.8377188827030382,0.16796875,0.83203125,0.02767110455441594,0.012372852118945867,0.0,0.023021848577768025,0.01084234969757437,0.7911338456043795,0.7911338456043795
1,5,mid_range,2.6546048133667064,2.4611327745132936,2.0514784845178373,256,202,3,0.008512077089951366,0.7317541477555651,0.2109375,0.7890625,0.022914826905945616,0.013838408299640625,0.046417691486972154,0.02698203376959597,0.010904876006304165,0.8591926921249979,0.8591926921249979
2,1,low_power,6.994765749482685,1.1901052207017626,5.9685975222660606,128,91,3,-0.0025767169399074762,0.5452579134937847,0.64453125,0.7109375,0.012203857288639769,0.014302914784136533,0.04541133283132526,0.025888992849914274,0.00800729255061223,0.9451582931637764,0.9451582931637764
2,2,mid_range,9.64412339140347,11.410006889375328,2.6200905081078343,256,201,3,-0.04717062419754337,0.661873285221811,0.21484375,0.78515625,0.011919776669793434,0.013643175234220912,0.0,0.025447225996949128,0.008252484434620058,0.9430283900417944,0.9430283900417944
2,3,ultra_low,16.31551579179323,14.739824235002473,3.893432697228667,64,64,3,-0.027637328839079402,0.6102849282728857,0.75,1.0,0.012266670161023223,0.0,0.0,0.01990399963620865,0.014399138501338993,0.8165526903200819,0.8165526903200819
2,4,mid_range,10.796729006040362,12.507231181758707,2.5583426540113146,256,175,3,-0.042931020291697264,0.8377188827030382,0.31640625,0.68359375,0.01287564431632898,0.013329939013532742,0.0,0.022476725998247602,0.007674967909417952,0.9048861957869909,0.9048861957869909
2,5,mid_range,2.6546048133667064,1.1316527947971782,2.0514784845178373,256,175,3,-0.004257636845968697,0.7317541477555651,0.31640625,0.68359375,0.011496847622625376,0.014000028077268628,0.04549780997304586,0.027252266864740284,0.008433209157574801,0.9637895157407782,0.9637895157407782
3,1,low_power,6.994765749482685,4.951946269081447,5.9685975222660606,128,81,3,-0.023596049574424464,0.5452579134937847,0.68359375,0.6328125,0.00811495506447781,0.015364191139558243,0.03166807856425698,0.028014892664395424,0.005144961470975639,1.0470107003316962,1.0470107003316962
3,2,mid_range,9.64412339140347,7.438358691291551,2.6200905081078343,256,174,3,-0.05348543285096479,0.661873285221811,0.3203125,0.6796875,0.008233053385623579,0.014319642196745572,0.0,0.027398844548917216,0.004717637050552604,1.03452197186626,1.03452197186626
3,3,ultra_low,16.31551579179323,17.358221467910717,3.893432697228667,64,64,3,-0.033567680343557366,0.6102849282728857,0.75,1.0,0.008300116627166669,0.0,0.0,0.02186779756089017,0.013495740704494328,0.9085366898488115,0.9085366898488115
3,4,mid_range,10.796729006040362,9.266492612661118,2.5583426540113146,256,183,3,-0.04950750864607062,0.8377188827030382,0.28515625,0.71484375,0.008643460822851527,0.013761184561965819,0.0,0.024389785266951104,0.005047600457528633,1.0002988980841412,1.0002988980841412
3,5,mid_range,2.6546048133667064,0.7677780768611955,2.0514784845178373,256,190,3,-0.013626747496044539,0.7317541477555651,0.2578125,0.7421875,0.007997030463414425,0.014607374494609174,0.040921917115902984,0.027938321026013867,0.00508556516533293,1.0455122790886142,1.0455122790886142
4,1,low_power,6.994765749482685,2.3794970959973254,5.9685975222660606,128,70,3,-0.046571660117362156,0.5452579134937847,0.7265625,0.546875,0.006187713783548539,0.018923349648594365,0.012252133534136532,0.02608815835440597,0.0024745831458722767,1.1109931156714423,1.1109931156714423
4,2,mid_range,9.64412339140347,11.352453993689728,2.6200905081078343,256,176,3,-0.05281898269110177,0.661873285221811,0.3125,0.6875,0.006195261038443041,0.014371263251972403,0.0,0.024642980966649564,0.0023363407815342736,1.0747393334979378,1.0747393334979378
4,3,ultra_low,16.31551579179323,19.02481839750772,3.893432697228667,64,64,3,-0.036958671500371104,0.6102849282728857,0.75,1.0,0.0061590733648888,0.0,0.0,0.02311774525808766,0.015240484702263038,0.9778398747152613,0.9778398747152613
4,4,mid_range,10.796729006040362,10.75739547448786,2.5583426540113146,256,175,3,-0.050320748818183894,0.8377188827030382,0.31640625,0.68359375,0.0064171271616237455,0.015235766114672375,0.0,0.02150211025733318,0.002381709933158518,1.0514990296354316,1.0514990296354316
4,5,mid_range,2.6546048133667064,2.102244293102907,2.0514784845178373,256,168,3,-0.0364733538527614,0.7317541477555651,0.34375,0.65625,0.006085228546031375,0.01588471473495058,0.021680915880503138,0.028354784078315886,0.0023161914380769163,1.111643999023409,1.111643999023409
5,1,low_power,6.994765749482685,2.9805954095577025,5.9685975222660606,128,66,3,-0.05760576213938166,0.5452579134937847,0.7421875,0.515625,0.005258820021064974,0.021950693398594335,0.0023382592871485945,0.023252148273101167,0.0006134398076405125,1.1416276165563983,1.1416276165563983
5,2,mid_range,9.64412339140347,11.04243296014539,2.6200905081078343,256,134,3,-0.05255511319687263,0.661873285221811,0.4765625,0.5234375,0.005234584234805531,0.021656573594674516,0.0,0.01613312433056515,0.0005833092588292983,1.0936221322484783,1.0936221322484783
5,3,ultra_low,16.31551579179323,17.905717977114293,3.893432697228667,64,64,3,-0.037111691997825415,0.6102849282728857,0.75,1.0,0.005166728171016807,0.0,0.0,0.0222784199427931,0.017260711317552097,1.0069739178923973,1.0069739178923973
